Subject,Page Name,Purpose,Key Features,Design Theme,Navigation Links,Interactive Elements,Backend Integration,Status,Ecosystem Role,Error
/home/ubuntu/ai-bot-ecosystem/client/src/pages/DHGCorporate.tsx,DHGCorporate,"This page serves as the corporate homepage for Dozier Holdings Group (DHG), detailing its role as a parent company and its investment activities across technology, real estate, and trading sectors.","Hero section with company overview and key statistics, Executive leadership profiles, Filterable portfolio of subsidiary companies, Highlights of technology investments, Embedded corporate videos, Call-to-action for consultation and portfolio viewing","Dark theme with a primary background color of #0a1628, accented with gradients of blue, cyan, emerald, and green. The layout is responsive and uses grid displays for content blocks.","/, /softmor, /project-management, dozierholdingsgroup.com, dozierholdingsgroup.com/contact.html, dozierholdingsgroup.com/portfolio.html","Filter buttons for subsidiaries, Navigation links, Video player controls",None,Complete,"This page acts as the central corporate hub for the DHG ecosystem, providing a comprehensive overview of the parent company, its leadership, and its diverse portfolio of businesses. It establishes the corporate identity and introduces the various divisions and companies under the DHG umbrella.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/Dashboard.tsx,Dashboard,"A personal dashboard for users to manage their account, subscription, AI credits, and view their activity on the platform.","Subscription management, AI credit tracking and purchasing, Recent activity feed, Order history, Saved players list, Account settings","Dark theme with a blue/purple gradient background, glassmorphism effects, and accent colors of yellow, orange, and cyan.","/, /home, /store, /dashboard, /diamond-grind","Sign In button, Tab buttons, Upgrade subscription button, Buy credits buttons, View profile buttons, Account settings form (Display Name, Email, Password), Update Profile button, Change Password button, Logout button","tRPC (intended, currently using mock data), useAuth() for authentication",Partial,"Serves as the central hub for authenticated users to manage their account, track AI feature usage, view purchase history, and navigate to other key areas of the ecosystem.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/DiamondGrind.tsx,DiamondGrind,"An elite baseball platform for player rankings, recruiting, tournaments, and AI-powered training.","Player rankings, Player search and filtering, Tournament listings, Training programs, Player profile creation, AI-powered coaching","Dark theme with a blue color scheme, using gradients and modern UI elements.",ATHLYNX,"Create Profile form, Player search and filter inputs, 'Create Free Profile' button, 'Browse Players' button, 'Activate AI Coach' button, Tournament registration buttons, Navigation tabs",None,Partial,"A specialized sub-platform within the Athlynx ecosystem, focused on providing a comprehensive baseball talent development and recruitment service.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/EarlyAccess.tsx,EarlyAccess,"A pre-launch landing page for ATHLYNX, designed to capture early access sign-ups from users interested in the upcoming athlete success platform.","Early access signup form, Countdown timer to launch, Limited founding member spots, Showcase of related applications","Dark blue gradient background with cyan and blue accents, centered single-column layout, and prominent branding.",/success,"Email input, Phone input, Role selection buttons, Sport selection buttons, Submit button",trpc.vip.signup.useMutation,Complete,"This page serves as the primary user acquisition channel for the ATHLYNX platform before its official launch, filtering and collecting a base of early adopters.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/EmpireVision.tsx,EmpireVision,"This page outlines the vision of Dozier Holdings Group (DHG) to build a complete ecosystem around athletes, starting with the ATHLYNX platform, and compares this vision to the growth of Amazon and McDonald's.","Comparison with 'Empire Builders' like Jeff Bezos and Ray Kroc,Showcase of the 'Complete Ecosystem' with various verticals,Details on the 'AI-Powered Everything' aspect,Information about the 'Social Media Empire' ATHLYNX is building,A 'Roadmap to Empire' timeline from 2024 to 2030,Call-to-action buttons to view the investor deck, become a partner, or join the team","The page uses a dark theme with a gradient background from dark blue to black. It uses cyan, blue, and white as primary text colors, with accents of orange, yellow, red, green, purple, pink, and indigo for different sections and elements. The layout is a single-page design with multiple sections.","/dhg,/fuel-bots,/investor-deck,/partner-portal,/careers","Back to DHG link,Explore FuelBots AI button,View Investor Deck button,Become a Partner button,Join the Team button",None,Complete,"This page serves as a high-level overview of the company's grand vision and long-term strategy. It's designed to inspire and attract investors, partners, and potential employees by showcasing the massive potential of the athlete-centric ecosystem.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/Faith.tsx,Faith,"A faith-based community hub for the Fellowship of Christian Athletes, providing daily inspiration, community prayer, and spiritual growth for athletes.","Daily Devotional, Podcast, Blog, Prayer Wall, Testimonies, Verse of the Day, Stats","Dark theme with a gradient from slate-900 to purple-950. Amber and purple are accent colors. Uses lucide-react for icons, a cross pattern background, and glowing orbs. The layout includes a hero section, tabs, and cards.",/founder-story,"Content tabs, Prayer request form, 'I Prayed' button, 'Comment' button, 'Share' button, Submit testimony dialog","trpc.fca.getTodayDevotional, trpc.fca.getDevotionals, trpc.fca.getPodcasts, trpc.fca.getBlogPosts, trpc.fca.getPrayerRequests, trpc.fca.getTestimonies, trpc.fca.getTodayVerse, trpc.fca.getStats, trpc.fca.submitPrayerRequest, trpc.fca.prayForRequest, trpc.fca.submitTestimony",Complete,"This page serves as a spiritual hub within the ATHLYNX ecosystem, offering faith-based resources and a supportive community for Christian athletes to foster spiritual growth and connection.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/FounderStory.tsx,FounderStory,"This page tells the personal story of the founder, Chad A. Dozier, detailing his journey as an athlete, the challenges he faced, and the inspiration behind founding the Dozier Holdings Group and its associated platforms.","Founder's biography timeline, Personal testimony and mission statement, Photo gallery placeholders","Dark theme with a gradient background (slate-900, blue-900), with cyan, yellow, and red text for highlights. The layout is a vertical timeline with card-based sections.",None,Photo gallery placeholders,None,Partial,"This page provides the foundational narrative for the entire ecosystem, explaining the mission and values that drive the company. It aims to build a strong emotional connection with users by sharing the founder's personal story of overcoming adversity.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/FuelBots.tsx,FuelBots,"A marketing and informational page for 'Fuel Bots', which are autonomous AI companions designed to revolutionize athletic performance, industrial operations, and critical infrastructure.","AI-powered drill running, real-time coaching, rapid AED delivery, equipment transport, 24/7 training availability, performance data collection, server rack inspection, environmental condition tracking, pipeline inspection, leak detection, security patrol automation, predictive maintenance alerts","Dark theme with a gradient from slate-950 to slate-900. It uses bright accent colors like cyan, blue, orange, and green for buttons, badges, and highlights. The layout is a modern single-page design with sections for different aspects of the product.","NIL Portal, Fuel Candy","Industry selection buttons, Schedule Demo button, University Pilot Program button, Apply Now button, Book Demo button, Learn More button, Sign Up button",None,Placeholder,"Fuel Bots is one of the three core pillars of the Dozier Holdings Group's ecosystem, alongside the NIL Portal and Fuel Candy. It serves as the physical hardware component of their 'OS for modern athletes' and industrial solutions.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/Home.tsx,Home,"The main landing page for the ATHLYNX platform, which is described as 'The #1 Sports Platform' and 'The Athlete's Playbook'. It introduces the platform's flagship products and features.","Social Feed, Messaging, NIL Deals, Training, Analytics, 15+ Sports, Recruiting, Store","Dark blue gradient background with cyan and blue accents, a subtle blue glow overlay, and a modern, tech-oriented style.","/nil-portal, /diamond-grind, /messenger, /founder-story, /store, /recruiting, /faith, /transfer-portal-intelligence, /military-division, /dhg, /softmor, /investor-hub, /hub, /","Links with hover effects, 'Get VIP Access' button, Clickable app cards, Action buttons for 'Social Feed', 'Messenger', and 'Diamond Grind'",None,Complete,"This page is the central hub of the DHG ecosystem, introducing the 'ATHLYNX' platform and providing navigation to all its sub-applications and related pages. It acts as the main entry point for users to understand the value proposition and explore the different parts of the ecosystem.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/Implementation.tsx,Implementation,"This page outlines the 14-week implementation roadmap for deploying the AI Bot Ecosystem across Dozier Holdings Group, detailing the plan from initial setup to full-scale optimization.","Implementation Timeline, Detailed Phase Breakdown, Key Tasks, Deliverables, Critical Success Factors","The page uses a professional and clean design with Card components for structure, Badge components for status indicators, and icons from lucide-react for visual cues. The color scheme is based on a primary color with background and muted tones.","Home, Team Bots, Capabilities, Implementation","Navigation links, Hover effects on phase cards",None,Complete,"This page serves as the strategic guide for the AI Bot Ecosystem's deployment, providing a clear timeline and deliverables for stakeholders and team members to ensure a coordinated and successful rollout.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/InvestorDeck.tsx,InvestorDeck,"This page serves as an investment proposal for Dozier Holdings Group (DHG), showcasing the company's ecosystem, market opportunity, revenue model, and strategic partnerships to potential investors.","Company Overview, Market Opportunity, Revenue Model, Strategic Partnerships, Call to Action","The page uses a dark, futuristic theme with a gradient background from dark blue to black. It uses a bright color palette for highlights, including cyan, yellow, green, and purple, to draw attention to key metrics and sections. The layout is a single-page design with clear sections and uses cards to present information.",None,"Investment interest form, Submit Interest button",None,Partial,"This page is the primary tool for attracting investment into the DHG ecosystem. It provides a comprehensive overview of the entire business, its market, and its financial strategy, acting as a digital prospectus for potential investors.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/InvestorHub.tsx,InvestorHub,A central portal for investors to find information and documentation about the Dozier Holdings Group portfolio.,"Investment Opportunities, Key Metrics, Executive Leadership, 2025 Roadmap, Investor CTA","Dark theme with a blue/black linear gradient background. Cyan is used as the primary accent color for text, borders, and interactive elements, creating a modern, tech-focused aesthetic.","/investor/athlynx-pitch, /investor/athlynx-pl, /investor/athlynx-prospectus, /dhg, /investor/dhg-pitch, /investor/dhg-prospectus, /softmor, /investor/softmor-pitch, /investor/softmor-pl, /vip","Links to pitch decks, financial documents, buttons to schedule meetings and view corporate structure",None,Complete,"This page serves as the main hub for potential investors to explore the Dozier Holdings Group's portfolio, review key financial data, and access detailed investment documents. It is the central point for fundraising and investor relations.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/MediaShowcase.tsx,MediaShowcase,A media-rich landing page designed to introduce and showcase the 'Athlete's Playbook' ecosystem.,"Hero section with introductory title, App icons linking to different applications, Video gallery with a main player and thumbnails, Links to VIP early access and project management","Dark theme with black and slate backgrounds, accented with golden/yellow and cyan colors, featuring gradient effects and a modern, sleek style.","/home, /nil-portal, /messages, /diamond-grind, /nil-marketplace, /, /project-management","Enter Site button, App icon links, Video player with controls, Video thumbnail selection buttons, VIP Early Access button, Project Management button",None,Complete,"This page serves as the primary marketing and entry point for the ATHLYNX/Athlete's Playbook ecosystem, showcasing its various applications and directing users to them.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/Medical.tsx,Medical,"Connect with top sports medicine doctors, physical therapists, and recovery specialists trusted by pro athletes.","Filter medical services, View medical providers, Access injury recovery resources, Telehealth services information, Emergency care banner",Dark theme with a blue gradient background and red accent color. Single-column layout with a fixed header.,"/, /home, /store, /medical, /pricing","Service filter buttons, Get Help Now button, Book Now button, Profile button, Start Virtual Visit button, Injury resource cards",None,Complete,"This page serves as the medical hub for the ATHLYNX platform, providing athletes with resources to find medical professionals, get information on injuries, and access telehealth services.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/Messages.tsx,Messages,"A messaging application that allows users to send and receive messages, acting as a communication hub for athletes, coaches, brands, and media.","Conversation list with search and filtering, Chat area, Message input with send button, Online status display, Unread message count, Verified user indicator, New message creation, Mobile responsive view","Dark theme with a linear gradient background (dark blue shades). Cyan is the primary accent color for buttons, borders, and highlights. Text is white and gray.","/, /","Search input, Filter buttons, New Message button, Clickable conversation list, Message input field, Send message button, Phone call button, Video call button, File attachment button, Image attachment button, Emoji button, Notification button, Settings button",None,Placeholder,"This page serves as the central communication hub within the DHG ecosystem, connecting athletes with coaches, brands, and media for NIL opportunities and other interactions.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/MilitaryDivision.tsx,MilitaryDivision,The first-ever NIL platform that connects college athletes with military service opportunities while supporting our veterans through their entire journey.,"Military NIL Sponsorships, ROTC Athlete Program, Military Academy Support, Officer Candidate Connections, VA Benefits Navigator, Disability Claims Assistance, GI Bill Optimization, Healthcare Coordination, Mental Health Resources, Career Transition Services, Veteran-Owned Business Support, Battle Buddy System, Leadership Development, Life Skills Training, Career Guidance, Speaker Series","Dark theme with a blue-to-black gradient background, with red, blue, green, and yellow as accent colors. The layout is a single-column with a fixed header.","/, /home, /careers, /military-division, /faith, /veterans","Tabs for Pipeline, Support, and Mentorship, Navigation links",None,Complete,"This page serves as a dedicated portal for the military division of the platform, aiming to connect athletes with military opportunities and provide support for veterans. It's a key part of the ecosystem that bridges the gap between college athletics and military service.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/Music.tsx,Music,"This page provides curated music playlists and podcasts specifically designed for athletes to listen to during workouts, game days, and training sessions.","Playlist filtering by genre, Curated workout playlists, Pro-athlete playlists, Sports podcasts, Now playing music controls, Premium subscription upsell","A modern, dark-themed design with a gradient background of dark blue and black. The primary accent color is purple, with secondary uses of pink, cyan, and yellow. The layout is a single-column, centered design using grids to display content cards.","/, /home, /store, /music, /pricing","Genre filter buttons, Play/pause buttons on playlists, Music playback controls (previous, play, next), 'Upgrade to Premium' button",None,Complete,"This page acts as the central hub for all audio content within the ATHLYNX ecosystem, aiming to enhance the athlete's training experience and motivation through curated music and podcasts.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/NILMarketplace.tsx,NILMarketplace,"This page allows athletes to browse and apply for NIL (Name, Image, and Likeness) deals from various brands, providing a marketplace for monetization opportunities.","Search and filter NIL deals, Browse deals by category, View featured opportunities, View deal details (brand, value, requirements, deadline), Apply to deals","The page uses a gradient background, with a primary color for highlights, calls to action, and featured content. The layout is a clean, single-column design with card-based elements for displaying information.","/, /playbook, /transfer-portal, /nil-marketplace, /messages","Search input, Filter button, Category buttons, Apply Now buttons, Log In button, Sign Up Free button",None,Complete,"This page serves as a marketplace for athletes to connect with brands for NIL (Name, Image, and Likeness) deals, enabling them to monetize their personal brand.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/NILPortal.tsx,NILPortal,"A comprehensive portal for athletes to manage their Name, Image, and Likeness (NIL) deals, track performance analytics, build a professional network, and access educational resources.","NIL Deal Management, Performance Analytics, Professional Network, Education & Resources, Video Gallery","Dark theme with a gradient from gray-900 to cyan-900. Accent colors include green, cyan, purple, and orange for feature sections.","/home, /, /founder-story, /messenger, /diamond-grind","Join Waitlist button, Claim Your Spot button, Video player controls, Footer navigation links",None,Coming Soon,"Serves as the primary marketing and pre-launch landing page for the NIL Portal, designed to attract athlete-entrepreneurs and encourage them to join a waitlist before the official launch in February 2026.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/NotFound.tsx,NotFound,This page is displayed when a user tries to access a URL that does not exist within the application.,"404 error display,Not found message,Go Home button",The page uses a gradient background from light slate to a slightly darker slate. It features a card-based layout with a prominent red alert icon and a blue 'Go Home' button.,/ (Home),Go Home button,None,Complete,"This page serves as the application's 404 error handler, ensuring that users who navigate to an invalid page are met with a user-friendly message and a clear path back to the homepage.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/PartnerPortal.tsx,PartnerPortal,"A secure portal for DHG's strategic partners to access exclusive partnership materials, quotes, and proposals after authenticating with a unique access code.","Partner authentication, Document listing and filtering, Document download, Download logging, Display of partner information, Sign out","Dark theme with a blue and cyan color scheme, using card-based layouts and icons for a modern, tech-oriented look.",mailto:partnerships@dhg.com,"Access code input, 'Access Portal' button, Category filter buttons, 'Download' button, 'Sign Out' button","trpc.partners.authenticate, trpc.partners.getDocuments, trpc.partners.logDownload",Complete,"This page serves as a secure, external-facing portal for B2B partners, providing controlled access to confidential documents and resources that are not available to the public.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/Pricing.tsx,Pricing,"This page presents the different subscription tiers and pricing options available for the ATHLYNX platform, enabling users to select a plan and proceed with the subscription process.","Subscription tier comparison,Monthly/annual billing toggle,AI credit pack purchasing,Email collection modal,Stripe checkout integration","The page features a dark theme with a blue gradient background. Key elements are highlighted with yellow and orange gradients, while the AI credits section uses cyan accents. The layout is a responsive grid for the pricing cards.","/,/home,/store,/pricing,/ai-credits","Billing cycle toggle,Subscription buttons,Credit pack purchase buttons,Email input modal,Checkout button","trpc.stripe.createSubscriptionCheckout, trpc.stripe.createCreditsCheckout",Complete,"This page is the central point for monetization within the ATHLYNX ecosystem. It allows users to upgrade their accounts to unlock premium features or purchase AI credits, which are essential for using the platform's advanced functionalities.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/ProjectChecklist.tsx,ProjectChecklist,"A project checklist and launch tracker for the ATHLYNX project, displaying overall progress, project phases, and task statuses.","Overall project progress bar, countdown to launch date, collapsible project phases with individual progress, task status display (done, in-progress, pending), quick stats section","Dark theme with a color palette of dark blue, cyan, green, and yellow. Uses icons for visual cues and has a single-column layout.","/, /dhg, /softmor, /pm, /media, /hub, /investor-hub, /team, /athlete-dashboard, /nil-portal, /nil-marketplace, /diamond-grind, /messages, /transfer-portal, /founder-story, /apps, /pricing, /store, /careers, /medical, /training, /veterans, /music, /faith, /military-division, /home","Collapsible phase sections, Links to view tasks",None,Complete,"This page acts as a transparent, internal-facing dashboard for tracking the development progress of the entire ATHLYNX ecosystem. It provides a high-level overview of all the components and their completion status, ensuring all stakeholders are aligned on the project's trajectory towards its launch.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/ProjectManagement.tsx,ProjectManagement,"A project management dashboard for Dozier Holdings Group to display project status, company portfolios, platform features, team members, and project timelines.","Dashboard with statistics cards, Quick Actions navigation, Project launch timeline, Tabbed interface for different sections, Lists of companies by sector, Platform feature status tracking, White-label app status, Team and advisor roster, Immediate priorities checklist","Dark theme with a slate-blue gradient background and cyan as the primary accent color for borders, links, and highlights. Status badges are color-coded (e.g., green for 'live', blue for 'built').","/, /home, /nil-portal, /diamond-grind, /messages, /transfer-portal-intelligence, /faith, /military-division, /store, /pricing, /founder-story, /court-kings, /gridiron-nexus, /pitch-pulse, /reel-masters, /fairway-elite, /hunt-pro","Tabs (Overview, Companies, Platform, Team, Timeline), Buttons (Back to Platform, Quick Actions), Checkboxes (Immediate Priorities), Links to other pages",None,Complete,"This page serves as an internal project management dashboard for the Dozier Holdings Group, providing a centralized overview to track the progress of their various companies, platform features, and overall project timeline.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/ProjectPlaybook.tsx,ProjectPlaybook,"A project status dashboard that uses a baseball analogy to track the development progress of the ATHLYNX platform, detailing completed features, work in progress, future plans, and the overall launch timeline.","Tabbed navigation for different project phases (Starting Lineup, Bench, Farm System, Game Schedule), Visual baseball diamond for completed features, Lists of completed, in-progress, and future development items, Launch timeline and schedule, Live backend deployment status banner","Dark theme with a blue-gradient background. Uses accent colors like cyan, yellow, green, and orange. Features a prominent baseball theme with a baseball emoji logo, a visual baseball diamond layout, and terminology like 'Starting Lineup' and 'Farm System'.","/, https://athlynx-backend-production.up.railway.app","Tab buttons (Starting Lineup, Bench, Farm System, Game Schedule), Link to live backend application, Link to VIP Access page","The page links to a live backend on Railway (athlynx-backend-production.up.railway.app). While the page itself doesn't make API calls, the 'Database & Authentication' feature description implies backend functionality including MySQL, user authentication, and Stripe integration.",Complete,"This page serves as an internal or stakeholder-facing project management and status tracking tool for the ATHLYNX platform. It provides a clear, high-level overview of the project's progress, roadmap, and launch timeline, using a creative baseball metaphor to organize the information.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/QuickLinksHub.tsx,QuickLinksHub,Serves as a central dashboard for users to navigate to the various applications and systems within the NIL Portal ecosystem.,"Categorized list of systems, Icon, name, and description for each system, Highlighted featured application, Quick overview of the ecosystem","Dark theme with a linear gradient background, blue accents for headings and links, and a grid-based layout for system cards with hover effects.","/, /apps, /messages, /transfer-portal, /dashboard, /project-management, /nil-marketplace, /media, /athlete-dashboard, /ai/training, /medical, /diamond-grind, /dhg, /softmor",System link cards with hover effects,None,Complete,"This page acts as the central navigation hub for the entire NIL Portal ecosystem, providing users with a visual map of all available applications and services.",
/home/ubuntu/ai-bot-ecosystem/client/src/pages/SigningDay.tsx,SigningDay,"A hub for ""National Signing Day,"" allowing users to watch live streams of athletes announcing their college commitments, view upcoming signing events, and see recent commitments.","Live streaming of athlete commitment announcements, Sport-based content filtering, Upcoming signing day event listings, Recent commitment feed, Statistics on live streams, viewers, and commitments, CTA for athletes to schedule their own announcement streams","Dark theme with a purple-to-blue-to-cyan gradient background. Utilizes blurred, semi-transparent cards and accent colors of cyan, red, green, and purple for interactive elements and icons.",None,"Sport filter buttons, Watch Live button, Notify Me button, Watch Announcement button, Schedule Your Stream button, Learn More button",None,Complete,"This page acts as a central hub for the significant 'National Signing Day' event in sports recruiting, aiming to boost user engagement and retention through live and recent content. It also serves as a content acquisition funnel by encouraging athletes to stream their announcements on the platform.",
